"","Country","ISO.code","Continent","Happiness","Fertility","GDPpercapita","Lifeexpectancy","Meatconsumption","Medianage","Urbanizationrate","CCDR3070","POISON_MORT","NONCOM_DISEASE","MATERNAL_MORT","ROADTRAFFIC_MORT","UNIV_HEALTHCARE","MEDICS","DRINKING_WATER","CLEAN_FUEL_TECH"
"125","Tanzania","TZA","Africa",3.623,4.9,3652,65,10,17.7,35.2,17.9,2.69,17.9,524,29.2,43,0.14,42.5,5
"126","Thailand","THA","Asia & Oceania",5.985,1.5,21361,76.9,27.9,37.7,51.4,14.5,0.41,14.5,37,32.7,80,8.05,100,79
"127","The Gambia","GMB","Africa",5.051,5.2,2892,61.7,5.2,21,62.6,20.4,1.89,20.4,597,29.7,44,1.02,63.37,5
"128","Togo","TGO","Africa",4.107,4.3,1913,60.8,8.5,19.8,42.8,23.6,2.39,23.6,396,29.2,43,0.77,48.39,9
"129","Tunisia","TUN","Africa",4.596,2.2,13093,76.5,25.5,31.6,69.6,16.1,0.46,16.1,43,22.8,70,13.03,88.71,95
"130","Turkey","TUR","Asia & Oceania",4.948,2.1,29327,78.3,19.3,30.9,76.1,16.1,0.31,16.1,17,12.3,74,18.49,98.62,95
"131","Turkmenistan","TKM","Asia & Oceania",5.066,2.8,21855,68.1,41.7,27.9,52.5,29.5,0.74,29.5,7,14.5,70,22.25,100,95
"132","Uganda","UGA","Africa",4.636,5,2753,63,11.7,15.8,25,21.9,3.18,21.9,375,29,45,1.68,41.25,5
"133","Ukraine","UKR","Europe",4.875,1.3,10130,72,32.3,40.6,69.6,24.7,2.55,24.7,19,13.7,68,29.92,91.31,95
"134","United Arab Emirates","ARE","Asia & Oceania",6.561,1.4,70441,77.8,74.4,30.3,87,16.8,0.26,16.8,3,18.1,76,25.28,98.05,95
"135","United Kingdom","GBR","Europe",7.064,1.7,48169,81.2,79.6,40.5,83.9,10.9,0.23,10.9,7,3.1,87,28.12,100,95
"136","United States","USA","North America",6.951,1.7,67426,78.9,124.8,38.1,82.7,14.6,0.9,14.6,19,12.4,84,26.12,96.97,95
"137","Uruguay","URY","South America",6.431,2,24516,77.8,98.6,35,95.5,16.7,0.41,16.7,17,13.4,80,50.79,95.3,95
"138","Uzbekistan","UZB","Asia & Oceania",6.179,2.4,9595,71.5,20.7,28.6,50.4,24.5,1.03,24.5,29,11.5,73,23.74,96.07,85
"139","Venezuela","VEN","South America",4.892,2.3,16055,72.1,56.6,28.3,88.3,18.1,0.29,18.1,125,33.7,74,19.48,95.72,95
"140","Vietnam","VNM","Asia & Oceania",5.411,2,8677,75.3,28.6,30.5,37.3,17.1,0.92,17.1,43,26.4,75,8.28,92.64,64
"141","Yemen","YEM","Asia & Oceania",3.658,3.8,2312,66.1,14.7,19.5,36.6,30.6,3.77,30.6,164,34.7,42,5.25,54.7,60
"142","Zambia","ZMB","Africa",4.073,4.6,4174,63.5,11.9,16.8,44.6,17.9,2.94,17.9,213,23.6,53,11.87,41.95,13
"143","Zimbabwe","ZWE","Africa",3.145,3.6,2778,61.2,15.2,20,32.2,19.3,2.23,19.3,458,34.7,54,2.1,49.8,29
